ID,input,output,note
TC01,"Quy định về hợp đồng lao động trong Bộ luật Lao động?","Nội dung về hợp đồng lao động, trích dẫn điều luật, tiếng Việt chuẩn","Truy vấn pháp lý"
TC02,"Quy định về quyền sở hữu tài sản và hợp đồng lao động?","Nội dung tổng hợp từ nhiều bộ luật","Truy vấn pháp lý"
TC03,"Truy vấn có ký tự đặc biệt, không rõ ràng","Thông báo lỗi hoặc hướng dẫn lại","Truy vấn pháp lý"
TC04,"Upload file PDF chứa văn bản luật dân sự","Trích xuất điều khoản, nhận diện chương/mục/điều","Upload tài liệu pháp lý"
TC05,"Upload nhiều tài liệu cùng lúc","Hệ thống xử lý đồng thời","Upload tài liệu pháp lý"
TC06,"Quy định về quyền sở hữu tài sản với bộ lọc Bộ luật Dân sự","Kết quả thuộc lĩnh vực dân sự","Lọc theo lĩnh vực pháp luật"
TC07,"Truy vấn với nhiều bộ lọc","Kết quả đa lĩnh vực","Lọc theo lĩnh vực pháp luật"
TC08,"Hiến pháp quy định thế nào về quyền tự do ngôn luận?","Nội dung về quyền tự do ngôn luận","Xử lý tiếng Việt và thuật ngữ pháp lý"
TC09,"Truy vấn với thuật ngữ pháp lý chuyên sâu","Giải thích đúng thuật ngữ","Xử lý tiếng Việt và thuật ngữ pháp lý"
TC10,"Truy vấn với tiếng Việt nhiều dấu","Nội dung xử lý chuẩn Unicode","Xử lý tiếng Việt và thuật ngữ pháp lý"
TC11,"Gửi nhiều câu hỏi liên tiếp trong một phiên làm việc","Lịch sử chat đầy đủ, đúng thứ tự","Lịch sử chat/session"
TC12,"Xóa lịch sử chat","Lịch sử chat được cập nhật","Lịch sử chat/session"
TC13,"Lưu lịch sử cho nhiều người dùng","Lịch sử phân biệt theo session","Lịch sử chat/session"
TC14,"Upload file .exe hoặc PDF lỗi","Thông báo lỗi tiếng Việt","Lỗi upload tài liệu không hợp lệ"
TC15,"Upload file quá lớn hoặc định dạng lạ","Thông báo lỗi phù hợp","Lỗi upload tài liệu không hợp lệ"
TC16,"Gửi 100 truy vấn pháp lý đồng thời","Tất cả truy vấn trả về trong < 2 giây","Hiệu năng nhiều người dùng đồng thời"
TC17,"Upload nhiều tài liệu đồng thời","Hệ thống xử lý tốt","Hiệu năng nhiều người dùng đồng thời"
TC18,"Trích dẫn Điều 123 Bộ luật Hình sự.","Nội dung Điều 123, định dạng trích dẫn chuẩn","Trích xuất trích dẫn văn bản pháp luật"
TC19,"Trích dẫn nhiều điều luật cùng lúc","Trả về đầy đủ, đúng định dạng","Trích xuất trích dẫn văn bản pháp luật"
TC20,"Nếu tôi là người lao động bị mất việc do tai nạn lao động, tôi có quyền gì theo Bộ luật Lao động và các quy định liên quan?","Nội dung tổng hợp nhiều điều luật","Truy vấn pháp lý phức tạp"
TC21,"Quyền của người khuyết tật khi tham gia lao động và giáo dục theo pháp luật Việt Nam?","Nội dung về Luật Người khuyết tật, Bộ luật Lao động","Hỗ trợ pháp luật cho người khuyết tật"
TC22,"Người khuyết tật có quyền tiếp cận công nghệ thông tin như thế nào theo pháp luật Việt Nam?","Nội dung Luật Người khuyết tật, chính sách CNTT","Hỗ trợ pháp luật cho người khuyết tật"
TC23,"Người khuyết tật có được hỗ trợ pháp lý miễn phí không?","Quy định về trợ giúp pháp lý","Hỗ trợ pháp luật cho người khuyết tật"
TC24,"Quy định về quyền tiếp cận công trình công cộng của người khuyết tật?","Nội dung Luật Người khuyết tật, quy định xây dựng","Hỗ trợ pháp luật cho người khuyết tật"
TC25,"Quy định về quyền sở hữu trí tuệ (Intellectual property rights in Vietnam law?)","Nội dung tiếng Việt và tiếng Anh","Truy vấn pháp lý đa ngôn ngữ"
TC26,"Quyền trẻ em được bảo vệ như thế nào theo pháp luật Việt Nam?","Nội dung về Luật Trẻ em","Truy vấn pháp luật về quyền trẻ em"
